acc,height0622,coordinates
IL422,17.387019428052568,"(711, 183)"
IL422,40.32099022261148,"(129, 185)"
IL422,20.83604122967084,"(309, 293)"
IL422,25.82058559920284,"(510, 294)"
IL422,34.005931062090134,"(122, 296)"
IL422,4.815517874474433,"(700, 297)"
IL422,27.87716574381766,"(901, 297)"
IL422,31.108147788257565,"(512, 406)"
IL422,34.42078460417796,"(314, 407)"
IL422,29.465670171857266,"(124, 410)"
IL422,16.622988179602274,"(708, 412)"
IL422,45.13904240607756,"(897, 416)"
IL422,29.374280452946888,"(707, 513)"
IL422,53.02525405380483,"(119, 514)"
IL422,46.64866573837666,"(897, 514)"
IL422,51.45138711712859,"(119, 610)"
IL422,22.82860802037957,"(896, 611)"
IL423,24.40857785748766,"(896, 50)"
IL423,19.137673846487917,"(708, 54)"
IL423,30.27450376425022,"(118, 58)"
IL423,17.800447256494653,"(892, 155)"
IL423,28.40458388313631,"(311, 160)"
IL423,28.520603783633824,"(508, 160)"
IL423,2.019858140466701,"(701, 160)"
IL423,30.931412032890336,"(118, 162)"
IL423,17.855083923282265,"(708, 266)"
IL423,27.07757504530078,"(507, 269)"
IL423,23.5653119713604,"(895, 270)"
IL423,21.221430369399005,"(312, 271)"
IL423,24.695337034145627,"(117, 274)"
IL423,15.035382374480886,"(897, 383)"
IL423,28.912842589603976,"(507, 384)"
IL423,24.752515799985183,"(311, 385)"
IL423,26.171590156119223,"(117, 386)"
IL423,20.0115193372873,"(707, 387)"
IL423,21.88329209193032,"(897, 485)"
IL423,0.1714371417535476,"(310, 496)"
IL423,21.35278429201261,"(512, 498)"
IL423,31.274725167560877,"(121, 502)"
IL423,19.88805468701167,"(894, 600)"
IL423,30.99826999801645,"(116, 610)"
IL424,30.46107688817571,"(316, 58)"
IL424,30.73784436312723,"(128, 59)"
IL424,1.2484774886141716,"(709, 61)"
IL424,24.482580066016094,"(903, 63)"
IL424,32.254197741991185,"(312, 158)"
IL424,16.26945076001165,"(900, 158)"
IL424,29.127480030440594,"(127, 162)"
IL424,31.827531075324515,"(515, 162)"
IL424,29.856585801692678,"(709, 162)"
IL424,26.47429724447875,"(518, 266)"
IL424,28.8027036863285,"(127, 269)"
IL424,23.021582327889934,"(904, 272)"
IL424,29.388128090249893,"(707, 273)"
IL424,29.547929085274767,"(309, 274)"
IL424,20.80612793912701,"(905, 369)"
IL424,24.3869470027274,"(120, 375)"
IL424,25.41738182159317,"(313, 376)"
IL424,27.359670378807103,"(512, 378)"
IL424,28.277680329055865,"(708, 378)"
IL424,2.424214502125876,"(510, 466)"
IL424,3.261402451722144,"(725, 470)"
IL424,24.812406697215067,"(339, 471)"
IL424,18.89964991221229,"(904, 471)"
IL424,21.945499852130148,"(109, 473)"
IL424,26.76009462018237,"(114, 620)"
IL424,0.3265707382378737,"(712, 627)"
IL424,23.37800722347004,"(908, 629)"
IL424,1.594010725267574,"(325, 632)"
IL425,27.212215114174448,"(900, 56)"
IL425,33.81117567534518,"(129, 57)"
IL425,37.3070241187892,"(309, 58)"
IL425,32.06472521122042,"(123, 164)"
IL425,29.93858400975207,"(304, 164)"
IL425,26.6082357510456,"(710, 165)"
IL425,20.010355100411164,"(896, 166)"
IL425,30.88923077592122,"(515, 168)"
IL425,21.883946482354457,"(902, 274)"
IL425,30.07251435801077,"(310, 277)"
IL425,22.935386313608326,"(117, 281)"
IL425,24.88704172119485,"(512, 281)"
